Name|Farbe|Adresse|Kommentar|Bild_1|Bild_2|Type|IconScale|longitude (Länge)|latitude (Breite)|Leerspalte|BeschreibungText|Beschreibung|Icon|Koordinaten
 |ffff0000||Schieber|||SchieberBlau||8.88739|47.19458|| Schieber| Schieber|http://www.fhoch3.peterliwiese.ch/icons/WasserSchieberBlau.png|8.88739,47.19458
 |ffff0000||Schieber|||SchieberRot||8.8872|47.1947|| Schieber| Schieber|http://www.fhoch3.peterliwiese.ch/icons/WasserSchieberRot.png|8.8872,47.1947
