Name|Farbe|Adresse|Kommentar|Bild_1|Bild_2|Type|IconScale|longitude (Länge)|latitude (Breite)|Leerspalte|BeschreibungText|Beschreibung|Icon|Koordinaten
 |ff00ffff||Trafostation Brunnenhoefli|||EW_Trafo||8.89046|47.19449|| Trafostation Brunnenhoefli| Trafostation Brunnenhoefli|https://www.fhoch3.peterliwiese.ch/icons/Trafostation.png|8.89046,47.19449
 |ff00ffff|||||EW_VK||8.88775|47.19441||||https://www.fhoch3.peterliwiese.ch/icons/Verteilkasten.png|8.88775,47.19441
