Name|Farbe|Adresse|Kommentar|Bild_1|Bild_2|Type|IconScale|longitude (Länge)|latitude (Breite)|Leerspalte|BeschreibungText|Beschreibung|Icon|Koordinaten
 |ff00ffff|KIBAG AG, Kieswerk|Ab See|||Wasserbezug||8.8918|47.20575||KIBAG AG, Kieswerk Ab See|KIBAG AG, Kieswerk Ab See|http://www.fhoch3.peterliwiese.ch/icons/WasserZugang.png|8.8918,47.20575
 |ff00ffff|Flugplatz Franzrueti|Ab See|||Wasserbezug||8.8641|47.20356||Flugplatz Franzrueti Ab See|Flugplatz Franzrueti Ab See|http://www.fhoch3.peterliwiese.ch/icons/WasserZugang.png|8.8641,47.20356
