-->20170910090328: Temp:     28.27, Druck:    962.74, Feuchtigkeit:     44.49, Hum
-->20170910090352: Temp:     28.20, Druck:    962.78, Feuchtigkeit:     46.96, Hum
-->20170910090354: Temp:     28.27, Druck:    962.76, Feuchtigkeit:     44.55, Hum
-->20170910090412: Temp:     28.63, Druck:    962.74, Feuchtigkeit:     44.45, Temp
-->20170910090416: Temp:     28.91, Druck:    962.74, Feuchtigkeit:     44.74, Temp
-->20170910090419: Temp:     29.27, Druck:    962.75, Feuchtigkeit:     44.39, Temp
-->20170910090425: Temp:     29.67, Druck:    962.73, Feuchtigkeit:     44.26, Temp
-->20170910090433: Temp:     30.06, Druck:    962.74, Feuchtigkeit:     42.81, Temp
-->20170910090441: Temp:     30.35, Druck:    962.72, Feuchtigkeit:     40.34, Hum
-->20170910090451: Temp:     30.65, Druck:    962.74, Feuchtigkeit:     42.36, Temp Hum
-->20170910090456: Temp:     30.92, Druck:    962.73, Feuchtigkeit:     39.57, Hum
-->20170910090504: Temp:     31.12, Druck:    962.75, Feuchtigkeit:     41.77, Hum
-->20170910090519: Temp:     31.44, Druck:    962.73, Feuchtigkeit:     40.86, Temp
-->20170910090531: Temp:     31.77, Druck:    962.72, Feuchtigkeit:     40.96, Temp
-->20170910090538: Temp:     31.95, Druck:    962.76, Feuchtigkeit:     38.39, Hum
-->20170910090554: Temp:     32.31, Druck:    962.71, Feuchtigkeit:     38.48, Temp
-->20170910090617: Temp:     32.65, Druck:    962.72, Feuchtigkeit:     38.92, Temp
-->20170910090643: Temp:     33.01, Druck:    962.79, Feuchtigkeit:     36.95, Temp Hum
-->20170910090708: Temp:     33.35, Druck:    962.82, Feuchtigkeit:     35.86, Temp
-->20170910090712: Temp:     33.35, Druck:    962.84, Feuchtigkeit:     37.77, Hum
-->20170910090731: Temp:     33.56, Druck:    962.84, Feuchtigkeit:     35.77, Hum
-->20170910090736: Temp:     33.51, Druck:    962.81, Feuchtigkeit:     37.98, Hum
-->20170910090746: Temp:     33.58, Druck:    962.80, Feuchtigkeit:     35.99, Hum
-->20170910090820: Temp:     33.92, Druck:    962.84, Feuchtigkeit:     35.97, Temp
-->20170910090825: Temp:     33.58, Druck:    962.87, Feuchtigkeit:     36.59, Temp
-->20170910090833: Temp:     33.24, Druck:    962.90, Feuchtigkeit:     36.30, Temp
-->20170910090840: Temp:     32.79, Druck:    962.87, Feuchtigkeit:     36.55, Temp
-->20170910090850: Temp:     32.38, Druck:    962.83, Feuchtigkeit:     37.13, Temp
-->20170910090857: Temp:     31.98, Druck:    962.83, Feuchtigkeit:     37.79, Temp
-->20170910090933: Temp:     31.64, Druck:    962.90, Feuchtigkeit:     38.86, Temp
-->20170910091005: Temp:     31.61, Druck:    962.90, Feuchtigkeit:     36.30, Hum
-->20170910091007: Temp:     31.64, Druck:    962.90, Feuchtigkeit:     38.96, Hum
-->20170910091023: Temp:     31.21, Druck:    962.91, Feuchtigkeit:     39.22, Temp
-->20170910091029: Temp:     31.19, Druck:    962.93, Feuchtigkeit:     41.30, Hum
-->20170910091031: Temp:     31.03, Druck:    962.93, Feuchtigkeit:     39.02, Hum
-->20170910091050: Temp:     30.69, Druck:    962.91, Feuchtigkeit:     40.24, Temp
-->20170910091105: Temp:     30.83, Druck:    962.88, Feuchtigkeit:     42.34, Hum
-->20170910091114: Temp:     30.85, Druck:    962.92, Feuchtigkeit:     40.16, Hum
