# <Config><Ort>Uster</Ort><Lon>8.7209</Lon><Lat>47.3471</Lat><FName>weatherLog.txt</FName></Config>
Timestamp|Level|Temp [°C] |Druck [mBar]|Feuchte [%]|Bezeichnung [de]|Beschreibung [de]
2026-06-08 19:57:45|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:57:47|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:57:49|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:57:51|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:57:53|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:57:55|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:57:57|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:57:59|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:58:01|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:58:03|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:58:05|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:58:07|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:58:09|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:58:11|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:58:13|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:58:15|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:58:17|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:58:20|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:58:22|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:58:24|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:58:26|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:58:28|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:58:30|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:58:32|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:58:34|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:58:36|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:58:38|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:58:40|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:58:42|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:58:44|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:58:46|INFO|19.71|1018|78|Rain|Leichter Regen
2026-06-08 19:58:48|INFO|19.71|1018|78|Rain|Leichter Regen
