# <Name>.//logfile.csv</Name<Date>2023-01-02 11:12:39</Date>
timestamp|log_lvl|ortsname|land|temp|lon|lat|temp|pressure|humidity|cloud|windSpeed|windDirection
2023-01-02 11:13:36||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:13:37||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:13:38||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:13:39||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:13:41||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:13:42||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:13:43||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:13:44||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:13:46||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:13:47||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:13:48||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:13:49||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:13:51||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:13:52||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:13:53||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:13:54||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:13:56||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:13:57||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:13:58||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:13:59||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:01||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:02||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:03||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:04||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:06||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:07||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:08||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:10||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:11||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:12||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:13||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:15||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:16||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:17||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:18||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:19||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:21||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:22||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:23||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:25||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:26||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:27||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:28||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:30||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:31||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:32||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:33||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:35||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:36||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:37||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:38||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:40||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:41||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:42||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
2023-01-02 11:14:43||Uster|CH|9.96|8.7209|47.3471|9.96|1020|76|Ein paar Wolken|2.57|140
