# <Name>G:\Lilian_Buehler_BWI_A21.csv</Name> <Date>2023-01-02 11:43:02</Date>
timestamp|loglevel|place|country|lon|lat|temp|pressure|humidity|cloud|windSpeed|windDirection
2023-01-02 11:44:00|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:01|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:03|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:04|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:05|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:06|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:08|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:09|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:10|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:11|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:13|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:14|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:15|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:16|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:18|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:19|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:20|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:21|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:23|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:24|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:25|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:26|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:28|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:29|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:30|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:31|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:33|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:34|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:35|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:36|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:38|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:39|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:40|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:41|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:43|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:44|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:45|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:46|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:48|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:49|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:50|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:51|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:53|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:54|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:55|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:56|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:58|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:44:59|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:45:00|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:45:02|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:45:03|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:45:04|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:45:06|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
2023-01-02 11:45:07|Info|Uster|CH|8.7209|47.3471|10.92|1021|73|Ein paar Wolken|2.06|150
